,word,POS,EN_translation
188,staan,WW,stand
189,bedankt,N,thanks
190,lang,ADJ,long
191,zegt,WW,says
192,beetje,N,bit
193,vinden,WW,find
194,één,TW,a
195,laatste,ADJ,last
196,zonder,VZ,without
197,dood,ADJ,death
198,gezien,WW,seen
199,geld,N,money
200,niks,VNW,nothing
201,vrouw,N,woman
202,kon,WW,could
203,zullen,WW,shall
204,vast,ADJ,fixed
205,eigen,ADJ,own
206,krijgen,WW,to get
207,verder,ADJ,further
208,dacht,N,thought
209,jouw,VNW,your
210,wilde,N,wanted to
211,drie,TW,three
212,geef,N,give
213,maakt,N,makes
214,eerst,BW,first
215,klaar,ADJ,ready
216,genoeg,BW,enough
217,geven,WW,to give
218,achter,VZ,behind
219,kwam,WW,came
220,gemaakt,ADJ,made
221,paar,N,couple
222,vader,N,father
223,lijkt,N,seems
224,vanavond,BW,tonight
225,blijven,WW,stay
226,kinderen,N,children
227,dingen,WW,things
228,houden,WW,to keep
229,tussen,VZ,between
230,bijna,BW,almost
231,zelfs,BW,even
232,maak,N,make
233,eten,WW,food
234,wacht,N,wait
235,samen,BW,together
236,werken,WW,to work
237,moeder,N,mother
238,niemand,VNW,nobody
239,vraag,N,ask
240,gehad,WW,had
241,volgende,WW,next one
242,wanneer,BW,when
243,thuis,BW,home
244,idee,N,idea
245,hoop,N,hope
246,foto,N,photo
247,dagen,N,days
248,neem,N,please
249,eigenlijk,ADJ,actually
250,moest,N,had to
251,hé,BW,Hey
252,helpen,WW,help out
253,wist,N,knew
254,wereld,N,world
255,vragen,WW,ask
256,nemen,WW,take
257,hadden,WW,had
258,auto,N,car
259,pas,BW,pass
260,praten,WW,to talk
261,buiten,VZ,Outside
262,best,ADJ,best
263,naam,N,name
264,denken,WW,to think
265,soms,BW,sometimes
266,via,VZ,through
267,gelukkig,ADJ,happy
268,open,ADJ,Open
269,ooit,BW,ever
270,gek,ADJ,crazy
271,heerlijk,ADJ,delicious
272,tijdens,VZ,while
273,elke,ADJ,each
274,geleden,BW,ago
275,god,N,God
276,krijg,N,receive
277,vooral,BW,mostly
278,spijt,N,regret
279,blij,ADJ,happy
280,blijf,N,stay
281,bezig,ADJ,busy
282,sorry,N,Sorry
283,kleine,ADJ,little
284,geeft,N,gives
285,geweldig,ADJ,awesome
286,fijn,ADJ,nice
287,enige,VNW,some
288,groot,ADJ,big
289,halen,WW,fetch
290,horen,WW,to hear
291,succes,N,good luck
292,beste,ADJ,Best
293,vanaf,VZ,from
294,haha,N,haha
295,ie,VNW,ie
296,wachten,WW,to wait
297,heen,VZ,away
298,vond,WW,found
299,zin,N,sense
300,deed,N,did
301,vaak,ADJ,often
302,druk,ADJ,pressure
303,hallo,N,Hey
304,plaats,N,place
305,later,ADJ,later
306,moment,N,moment
307,vroeg,N,asked
308,land,N,country
309,vertellen,WW,to tell
310,gezegd,WW,said
311,zat,N,was sitting
312,zorgen,WW,to care
313,oude,ADJ,old
314,vriend,N,friend
315,weekend,N,weekend
316,jaren,N,years
317,daarom,BW,therefore
318,ken,N,know
319,gelijk,ADJ,equal
320,minder,VNW,less
321,mannen,N,men
322,welke,VNW,which
323,bang,ADJ,anxious
324,rond,VZ,round
325,manier,N,way
326,mogelijk,ADJ,possible
327,meneer,N,sir
328,straks,BW,later
329,politie,N,law enforcement
330,geloof,N,faith
331,eerder,N,earlier
332,precies,ADJ,exactly
333,werkt,N,works
334,stad,N,city
335,luister,N,listen
336,probleem,N,issue
337,oh,N,Oh
338,vol,ADJ,full
339,hen,VNW,them
340,boek,N,book
341,school,N,school
342,sinds,VZ,since
343,kant,N,side
344,gisteren,BW,yesterday
345,gevonden,WW,found it
346,zoveel,TW,this much
347,www,WW,www
348,tweede,ADJ,second
349,begin,N,get started
350,zoek,ADJ,Search
351,daarna,BW,afterwards
352,avond,N,evening
353,kind,N,child
354,zet,N,move
355,word,N,become
356,houdt,WW,keeps
357,rustig,ADJ,quiet
358,zeer,BW,very
359,jongen,N,boy
360,vrij,ADJ,free
361,hoofd,N,head
362,kans,N,opportunity
363,terwijl,VG,while
364,boven,VZ,above
365,gebeurd,WW,happened
366,zoon,N,son
367,welkom,ADJ,welcome
368,ander,ADJ,other
369,inderdaad,BW,indeed
370,weken,WW,weeks
371,brengen,WW,bring
372,meteen,BW,right away
373,spelen,WW,play
374,alsjeblieft,N,please
375,geval,N,case
376,lopen,WW,walk
377,water,N,water
378,kamer,N,room
379,aantal,N,number
380,vier,TW,four
381,zoeken,WW,Search
382,vrienden,WW,friends
383,zetten,WW,put
384,verhaal,N,story
385,langs,VZ,along
386,meisje,N,girl
387,beginnen,WW,to start
388,euro,N,euro
389,hè,N,Hey
390,afgelopen,WW,past
391,mogen,WW,be allowed to
392,juist,BW,right
393,prima,ADJ,fine
394,liggen,WW,lie
395,soort,N,kind
396,enkele,VNW,a few
397,jongens,N,guys
398,kreeg,WW,received
399,vijf,TW,five
400,nieuw,ADJ,new
401,duidelijk,ADJ,clearly
402,bed,N,bed
403,vrouwen,N,women
404,geworden,WW,become
405,minuten,N,minutes
406,familie,N,family
407,plezier,N,fun
408,hand,N,hand
409,slapen,WW,to sleep
410,weinig,VNW,little
411,benieuwd,ADJ,curious
412,voel,N,feel
413,gezellig,ADJ,cozy
414,echte,ADJ,real
415,heet,N,hot
416,ogen,N,eyes
417,klein,ADJ,small
418,lezen,WW,read
419,helaas,BW,unfortunately
420,gebruiken,WW,use
421,alsof,VG,as if
422,ergens,BW,somewhere
423,gebeurt,WW,happens
424,deel,N,part
425,zaken,WW,Affairs
426,zodat,VG,so that
427,volgen,WW,to follow
428,slecht,ADJ,bad
429,stond,N,was standing
430,prachtig,ADJ,magnificent
431,stuk,N,piece
432,maanden,WW,months
433,proberen,WW,to attempt
434,nieuws,N,news
435,moeilijk,ADJ,difficult
436,ervan,BW,of it
437,leren,WW,to learn
438,problemen,N,issues
439,jammer,ADJ,Unfortunately
440,verdomme,N,damn
441,super,ADJ,super
442,jezelf,VNW,yourself
443,hoeveel,TW,How much
444,dochter,N,daughter
445,valt,WW,falls
446,vertel,N,tell
447,spreken,WW,to speak
448,deur,N,door
449,hard,ADJ,hard
450,vergeten,WW,to forget
451,men,VNW,men
452,probeer,WW,try
453,zaak,N,matter
454,klopt,WW,correct
455,koffie,N,coffee
456,bel,N,call
457,blog,N,blog
458,begrijp,WW,understand
459,handen,N,hands
460,voorbij,VZ,over
461,film,N,movie
462,vrijdag,N,Friday
463,ding,N,thing
464,rest,N,rest
465,eruit,BW,get out
466,eindelijk,ADJ,Finally
467,bekend,ADJ,known
468,pak,N,business suit
469,naast,VZ,next
470,gebruik,N,use
471,zondag,N,Sunday
472,tien,TW,ten
473,mis,ADJ,wrong
474,wakker,ADJ,awake
475,kent,WW,knows
476,vanuit,VZ,from
477,zaterdag,N,Saturday
478,onderzoek,N,research
479,nummer,N,number
480,anderen,ADJ,others
481,pijn,N,pain
482,trouwens,BW,Besides
483,hart,N,heart
484,hetzelfde,ADJ,the same
485,waarschijnlijk,ADJ,probably
486,oud,ADJ,old
487,echter,BW,however
488,haal,N,get
489,ieder,VNW,each
490,liefde,N,love
491,half,ADJ,half
492,hulp,N,help
493,miljoen,N,million
494,goedemorgen,N,good morning
495,zorg,N,care
496,kop,N,cup
497,bellen,WW,dial
498,sta,WW,stand
499,geloven,WW,to believe
500,hoeft,N,need
501,elk,VNW,each
502,nacht,N,night
503,stop,N,Stop
504,plek,N,place
505,den,N,Pine tree
506,belangrijk,ADJ,important
507,zon,N,Sun
508,vermoord,WW,murdered
509,maakte,N,made
510,extra,ADJ,additional
511,gegeven,WW,given
512,gevoel,N,feeling
513,hoi,N,Hi
514,lieve,N,dear
515,dezelfde,ADJ,the same
516,top,N,top
517,zes,TW,six
518,genieten,WW,to enjoy
519,gebeuren,WW,to happen
520,plan,N,plan
521,prachtige,ADJ,gorgeous
522,los,ADJ,loose
523,maand,N,month
524,reden,N,reason
525,help,N,Help
526,vallen,WW,fall
527,voordat,VG,before
528,kopen,WW,to buy
529,erbij,BW,with it
530,website,N,website
531,gaf,N,gave
532,opnieuw,BW,again
533,mens,N,man
534,maandag,N,Monday
535,drinken,WW,drink
536,verschillende,ADJ,various
537,lange,ADJ,long
538,buurt,N,neighborhood
539,woord,N,word
540,mezelf,VNW,myself
541,snap,N,snap
542,ten,VZ,ten
543,loopt,WW,runs
544,aldus,BW,thus
545,wees,N,orphan
546,stel,N,set
547,lief,ADJ,sweet
548,broer,N,brother
549,betalen,WW,Pay
550,ver,ADJ,far
551,erop,BW,on it
552,vakantie,N,vacation
553,bank,N,Bank
554,schat,N,treasure
555,schrijven,WW,to write
556,rijden,WW,to drive
557,zoiets,VNW,something like that
558,liever,BW,rather
559,overal,BW,everywhere
560,begonnen,WW,started
561,woorden,N,words
562,muziek,N,music
563,der,ADJ,der
564,verteld,WW,told
565,kennen,WW,to know
566,procent,N,per cent
567,dicht,ADJ,close
568,gratis,ADJ,free
569,eind,N,end
570,einde,N,end
571,mama,N,mom
572,mocht,N,was allowed
573,verwacht,N,expected
574,stoppen,WW,stop
575,vriendin,N,girlfriend
576,stellen,WW,set
577,vooruit,BW,forward
578,dollar,N,dollar
579,recht,ADJ,straight
580,gegaan,WW,gone
581,aardig,ADJ,nice
582,praat,N,talk
583,bedrijf,N,company
584,groep,N,group
585,slechts,BW,only
586,ongeveer,BW,about
587,gesprek,N,conversation
588,waarin,BW,in which
589,stil,ADJ,quiet
590,vanmiddag,BW,this afternoon
591,daarmee,BW,with that
592,alweer,BW,again
593,antwoord,N,answer
594,tv,N,TV
595,grootste,ADJ,largest
596,enkel,N,only
597,inmiddels,BW,Meanwhile
598,site,N,site
599,gezicht,N,face
600,licht,N,light
601,media,N,media
602,contact,N,Contact
603,bijvoorbeeld,BW,for example
604,dokter,N,doctor
605,vergeet,WW,forget
606,zichzelf,VNW,himself
607,breng,N,bring
608,informatie,N,information
609,binnenkort,BW,shortly
610,baan,N,job
611,langer,ADJ,longer
612,papa,N,Daddy
613,kwijt,ADJ,lost
614,uiteindelijk,ADJ,in the end
615,neer,BW,down
616,lees,N,read
617,toekomst,N,future
618,hoorde,WW,heard
619,bestaat,WW,exists
620,telefoon,N,phone
621,vroeger,ADJ,back in the days
622,eerlijk,ADJ,fair
623,pakken,WW,to grab
624,prijs,N,price
625,mevrouw,N,Mrs.
626,geluk,N,luck
627,vorig,ADJ,last
628,hond,N,dog
629,doden,WW,kill
630,normaal,ADJ,normal
631,sommige,VNW,some
632,collega,N,colleague
633,direct,ADJ,straight away
634,beneden,VZ,down
635,donderdag,N,Thursday
636,fout,N,wrong
637,meest,N,most
638,noemen,WW,to mention
639,eraan,BW,to it
640,team,N,team
641,houd,N,please hold
642,zult,N,will
643,kaart,N,Map
644,genomen,WW,taken
645,trots,ADJ,pride
646,programma,N,program
647,oorlog,N,war
648,stap,N,step
649,trein,N,train
650,begon,WW,began
651,hopelijk,ADJ,hopefully
652,vertrouwen,WW,trust
653,beide,VNW,both
654,richting,N,direction
655,slag,N,battle
656,veilig,ADJ,safe
657,konden,WW,could
658,maart,N,March
659,namelijk,BW,namely
660,woensdag,N,Wednesday
661,rust,N,peace
662,winnen,WW,to win
663,doel,N,target
664,president,N,president
665,ermee,BW,with it
666,vele,BW,many
667,loop,N,walk
668,onderweg,BW,on the way
669,waarheid,N,truth
670,grappig,ADJ,funny
671,erin,BW,in it
672,meeste,ADJ,most
673,reactie,N,reaction
674,grond,N,ground
675,aandacht,N,attention
676,nogal,BW,quite
677,wedstrijd,N,contest
678,nadat,VG,after
679,partij,N,party
680,ervoor,BW,before
681,kort,ADJ,short
682,dinsdag,N,Tuesday
683,dames,N,Ladies
684,mond,N,mouth
685,actie,N,action
686,gezet,N,put
687,ene,N,one
688,lichaam,N,body
689,jonge,ADJ,young
690,wonen,WW,living
691,ziek,ADJ,sick
692,online,ADJ,online
693,vandaan,VZ,away from
694,ruimte,N,space
695,regering,N,government
696,volg,WW,follow
697,bloed,N,blood
698,slaap,N,sleep
699,start,N,Start
700,schuld,N,debt
701,stuur,N,send
702,kantoor,N,office
703,gesproken,WW,spoken
704,boeken,WW,books
705,april,N,April
706,vanwege,VZ,because of
707,internet,N,internet
708,goeie,ADJ,good
709,straat,N,street
710,mail,N,mail
711,zomaar,BW,No reason
712,sterk,ADJ,strong
713,winkel,N,store
714,makkelijk,ADJ,easy
715,veranderen,WW,change
716,derde,ADJ,third
717,waard,ADJ,worth
718,sturen,WW,send
719,feest,N,party
720,minister,N,minister
721,hoog,ADJ,high
722,ruim,ADJ,spacious
723,wens,N,wish
724,voelen,WW,to feel
725,baas,N,boss
726,baby,N,baby
727,verloren,WW,lost
728,nergens,N,nowhere
729,gevraagd,N,asked
730,tafel,N,table
731,gang,N,hallway
732,bezoek,N,visit
733,delen,WW,share
734,plannen,WW,plan
735,gemeente,N,Township
736,redden,WW,to rescue
737,lol,N,LOL
738,tuin,N,garden
739,heren,WW,Gentlemen
740,kracht,N,power
741,afspraak,N,appointment
742,daarvoor,BW,therefor
743,bijzonder,ADJ,special
744,plaatsen,WW,place
745,lukt,N,succeeds
746,lucht,N,sky
747,slechte,ADJ,poor
748,tip,N,tip
749,nam,WW,took
750,vent,N,guy
751,ziekenhuis,N,Hospital
752,moeite,N,effort
753,vreemd,ADJ,strange
754,acht,TW,eight
755,alstublieft,WW,Please
756,situatie,N,situation
757,rug,N,back
758,koud,ADJ,cold
759,begrepen,WW,understood
760,fantastisch,ADJ,fantastic
761,klootzak,N,asshole
762,trekken,WW,to pull
763,zwaar,ADJ,heavy
764,totaal,ADJ,total
765,meter,N,meter
766,bovendien,BW,besides
767,eet,N,eat
768,helft,N,half
769,kiezen,WW,select
770,luisteren,WW,listen
771,club,N,club
772,stukje,N,piece
773,warm,ADJ,warm
774,meestal,BW,mostly
775,leggen,WW,lay
776,meisjes,N,girls
777,raad,N,advice
778,stem,N,voice
779,heerlijke,ADJ,delicious
780,interessant,ADJ,interesting
781,kwaad,N,pissed off
782,ervaring,N,experience
783,witte,N,white
784,kost,N,cost
785,bericht,N,message
786,zomer,N,summer
787,zus,N,sister
788,terecht,ADJ,justly
789,ach,TSW,ah
790,mei,N,May
791,agent,N,agent
792,behalve,VG,except
793,helpt,N,helps
794,sterven,WW,to die
795,rol,N,role
796,leek,N,seemed
797,jong,ADJ,young
798,landen,WW,Nations
799,hoge,ADJ,high
800,vermoorden,WW,murder
801,ontvangen,WW,received
802,dienst,N,shift
803,zwarte,ADJ,black
804,verjaardag,N,birthday
805,zeven,TW,seven
806,last,N,burden
807,waarop,BW,upon which
808,keuze,N,choice
809,jan,N,Jan
810,persoon,N,person
811,reis,N,trip
812,eentje,TW,one
813,leiden,WW,lead
814,rode,N,red
815,voorzichtig,ADJ,careful
816,voorstellen,WW,introduce
817,stelt,N,states
818,hotel,N,hotel
819,krant,N,newspaper
820,let,N,please note
821,hoezo,N,how so
822,beeld,N,statue
823,lag,WW,lay
824,gelezen,WW,read
825,gebied,N,area
826,ondanks,VZ,despite
827,vorm,N,form
828,kennis,N,knowledge
829,gewerkt,WW,worked
830,allebei,VNW,both
831,kosten,WW,cost
832,lachen,WW,laugh
833,gebeld,WW,called
834,waardoor,BW,Causing
835,punt,N,point
836,haat,N,hate
837,ineens,BW,suddenly
838,basis,N,base
839,koning,N,king
840,gewonnen,ADJ,won
841,geweldige,ADJ,great
842,hopen,WW,to hope
843,lastig,ADJ,difficult
844,waarvan,BW,from what
845,bestaan,WW,to exist
846,energie,N,energy
847,waarbij,BW,at which
848,project,N,project
849,verkeerd,ADJ,wrong
850,verkopen,WW,to sell
851,moord,N,murder
852,betreft,WW,regarding
853,welk,N,which
854,ah,N,Ah
855,serieus,ADJ,serious
856,volledig,ADJ,fully
857,moe,ADJ,tired
858,hoef,N,hoof
859,pa,N,dad
860,feit,N,fact
861,daarbij,BW,thereby
862,alvast,BW,already
863,markt,N,market
864,lijken,WW,appear
865,zowel,BW,both
866,gevallen,WW,cases
867,vervolgens,BW,thereafter
868,zoekt,WW,searches
869,kerk,N,church
870,ontmoet,WW,meet
871,politiek,N,politics
872,leg,N,put
873,bleek,N,turned out
874,haag,N,hedge
875,wijn,N,wine
876,artikel,N,article
877,trek,N,pull
878,overigens,BW,Moreover
879,aarde,N,soil
880,begrijpen,WW,to understand
881,opdracht,N,order
882,allen,VNW,all
883,mam,N,mom
884,klant,N,customer
885,perfect,ADJ,perfect
886,trouwen,WW,Marry
887,tenminste,BW,at least
888,bedrijven,WW,businesses
889,organisatie,N,organization
890,absoluut,ADJ,absolutely
891,koop,N,buy
892,korte,ADJ,short
893,hoewel,WW,although
894,schieten,WW,shoot
895,gezin,N,family
896,vertelt,WW,tells
897,uiteraard,BW,of course
898,bus,N,bus
899,ontmoeten,WW,Meet
900,blijkbaar,ADJ,apparently
901,vanmorgen,BW,this morning
902,politieke,ADJ,political
903,macht,N,power
904,band,N,band
905,val,N,fall
906,spel,N,game
907,raar,ADJ,weird
908,enorm,ADJ,huge
909,links,ADJ,left
910,dikke,ADJ,thick
911,omhoog,BW,up
912,missen,WW,to miss
913,januari,N,January
914,zover,BW,so far
915,gelukt,WW,succeeded
916,resultaat,N,result
917,namen,N,names
918,jack,N,jack
919,leger,N,army
920,duurt,WW,takes
921,frank,N,frank
922,meid,N,girl
923,stemmen,WW,to vote
924,vaker,ADJ,more often
925,spannend,ADJ,exciting
926,sociale,N,social
927,harte,N,heartily
928,wellicht,BW,maybe
929,bekijken,WW,see
930,geboren,WW,born
931,rij,N,queue
932,hangen,WW,to hang
933,leeft,ADJ,lives
934,bleef,N,Remained
935,rekening,N,account
936,schatje,N,baby
937,dragen,WW,to wear
938,gehouden,WW,kept
939,kapitein,N,captain
940,peter,N,Peter
941,oog,N,eye
942,waarmee,BW,by which
943,verlaten,WW,leave
944,lijst,N,list
945,advocaat,N,lawyer
946,droom,N,dream
947,zolang,BW,so long
948,les,N,lesson
949,flink,ADJ,substantial
950,vreselijk,ADJ,horrible
951,relatie,N,relationship
952,kerel,N,dude
953,kleur,N,color
954,sterkte,N,get well soon
955,getrouwd,WW,married
956,vuur,N,fire
957,verschil,N,difference
958,aanwezig,ADJ,present
959,daarvan,BW,thereof
960,omgeving,N,surroundings
961,hemel,N,sky
962,radio,N,radio
963,gisteravond,BW,yesterday evening
964,tja,N,well
965,feestje,N,party
966,brief,N,letter
967,seizoen,N,season
968,naartoe,VZ,to
969,post,N,post
970,verleden,N,past
971,publiek,N,audience
972,betaald,ADJ,paid
973,info,N,info
974,gedacht,N,thought
975,geleerd,WW,learned
976,slaan,WW,to beat
977,volle,ADJ,full
978,live,ADJ,live
979,lieverd,N,sweetheart
980,papier,N,paper
981,vechten,WW,fight
982,zee,N,sea
983,vliegen,WW,fly
984,regels,N,rules
985,slim,ADJ,smart
986,teveel,N,too much
987,heer,N,lord
988,fiets,N,bicycle
989,wapen,N,weapon
990,sneller,ADJ,faster
991,volk,N,people
992,huidige,ADJ,current
993,boos,ADJ,angry
994,orde,N,order
995,volgend,ADJ,next
996,gaaf,ADJ,cool
997,jawel,N,Yes
998,ondertussen,BW,meanwhile
999,lijn,N,line
1000,strijd,N,struggle
1001,verkocht,WW,sold
1002,tevreden,ADJ,satisfied
1003,vertrekken,WW,leave
1004,spreekt,N,speaks
1005,tips,WW,tips
1006,vlak,BW,flat
1007,kaarten,WW,Cards
1008,oma,N,Grandma
1009,oplossing,N,solution
1010,verliezen,WW,to lose
1011,juni,N,June
1012,hoogte,N,height
1013,noem,N,name
1014,geest,N,spirit
1015,zojuist,BW,just now
1016,la,N,la
1017,persoonlijk,ADJ,in person
1018,wet,N,law
1019,midden,BW,middle
1020,zodra,BW,as soon
1021,ha,N,ha
1022,onzin,N,nonsense
1023,sneeuw,N,snow
1024,keuken,N,kitchen
1025,bos,N,forest
1026,dankzij,VZ,thanks to
1027,ongeluk,N,accident
1028,wind,N,wind
1029,tekst,N,text
1030,controle,N,check
1031,bewijs,N,proof
1032,kapot,ADJ,Broken
1033,gevaar,N,Danger
1034,zulke,VNW,such
1035,lekkere,ADJ,yummy
1036,schip,N,ship
1037,training,N,training
1038,dieren,N,animals
1039,geheel,ADJ,whole
1040,erger,ADJ,worse
1041,momenteel,ADJ,currently
1042,thee,N,tea
1043,ochtend,N,morning
1044,boot,N,boat
1045,zak,N,bag
1046,geschiedenis,N,history
1047,respect,N,respect
1048,bereiken,WW,to achieve
1049,geraakt,WW,hit
1050,leeg,ADJ,empty
1051,speciaal,ADJ,special
1052,verhalen,WW,stories
1053,camera,N,camera
1054,overheid,N,government
1055,september,N,September
1056,belang,N,importance
1057,meen,N,mean
1058,dansen,WW,dancing
1059,rechter,N,judge
1060,besloten,WW,private
1061,ziens,BW,goodbye
1062,diep,ADJ,deep
1063,februari,N,February
1064,daardoor,BW,therefore
1065,immers,BW,after all
1066,erover,BW,about it
1067,geheim,N,secret
1068,allerlei,ADJ,all kinds of
1069,kleren,N,clothes
1070,tijden,N,times
1071,december,N,December
1072,workshop,N,workshop
1073,tegenwoordig,ADJ,nowadays
1074,hoger,ADJ,higher
1075,handig,ADJ,useful
1076,verliefd,ADJ,in love
1077,kilometer,N,kilometer
1078,systeem,N,system
1079,speciale,ADJ,special one
1080,schoenen,N,shoes
1081,gauw,ADJ,soon
1082,neus,N,nose
1083,bal,N,ball
1084,raken,WW,touch
1085,vanochtend,BW,this morning
1086,wapens,N,weapons
1087,dromen,WW,to dream
1088,indruk,N,impression
1089,wit,ADJ,white
1090,mening,N,opinion
1091,geprobeerd,WW,tried
1092,steun,N,support
1093,vliegtuig,N,plane
1094,restaurant,N,restaurant
1095,hel,N,hell
1096,halve,ADJ,half
1097,sluiten,WW,Close
1098,rood,ADJ,red
1099,deden,WW,did
1100,laatst,ADJ,last
1101,periode,N,period of time
1102,knap,ADJ,good looking
1103,betrokken,ADJ,involved
1104,begrijpt,N,understands
1105,geregeld,ADJ,regularly
1106,bloemen,WW,flowers
1107,vrijheid,N,freedom
1108,beschermen,WW,to protect
1109,pap,N,dad
1110,ontzettend,ADJ,terribly
1111,toevallig,ADJ,accidentally
1112,dame,N,Lady
1113,voorbeeld,N,example
1114,schrijft,WW,writes
1115,stappen,WW,to step
1116,bouwen,WW,to build
1117,draaien,WW,to turn
1118,leeftijd,N,age
1119,angst,N,fear
1120,middag,N,afternoon
1121,stom,ADJ,stupid
1122,seks,N,sex
1123,vieren,WW,to celebrate
1124,bier,N,beer
1125,gevangenis,N,jail
1126,rijk,ADJ,rich
1127,teken,N,sign
1128,voorkomen,WW,appearance
1129,degene,VNW,the one
1130,spreek,WW,speak
1131,zaten,WW,sat
1132,regelen,WW,arrange for
1133,gasten,WW,visitors
1134,leden,N,members
1135,wensen,WW,to wish
1136,lente,N,spring
1137,risico,N,risk
1138,zingen,WW,to sing
1139,november,N,November
1140,voorlopig,ADJ,for the time being
1141,gebouw,N,building
1142,kleuren,WW,colors
1143,oktober,N,October
1144,voldoende,ADJ,Enough
1145,rechts,ADJ,right
1146,gesloten,WW,closed
1147,kerst,N,Christmas
1148,gezocht,N,wanted
1149,kabinet,N,cabinet
1150,km,N,km
1151,pardon,N,excuse me
1152,shit,N,shit
1153,eenmaal,BW,once
1154,sluit,N,closes
1155,presentatie,N,presentation
1156,gezond,ADJ,healthy
1157,arme,N,poor
1158,honger,N,hungry
1159,passen,WW,to fit
1160,maat,N,measure
1161,centrum,N,Centre
1162,herinner,N,remember
1163,genoemd,N,mentioned
1164,wagen,N,car
1165,oom,N,uncle
1166,vannacht,BW,tonight
1167,bieden,WW,offer
1168,idioot,N,idiot
