,word,POS,EN_translation,lidwoord
167,staan,WW,stand,
168,lang,ADJ,long,
169,zegt,WW,says,
170,beetje,N,bit,ww
171,vinden,WW,find,
172,één,TW,a,
173,laatste,ADJ,last,
174,zonder,VZ,without,
175,dood,ADJ,death,
176,geld,N,money,het
177,niks,VNW,nothing,
178,vrouw,N,woman,de
179,kon,WW,could,
180,zullen,WW,shall,
181,vast,ADJ,fixed,
182,eigen,ADJ,own,
183,krijgen,WW,to get,
184,verder,ADJ,further,
185,jouw,VNW,your,
186,drie,TW,three,
187,eerst,BW,first,
188,klaar,ADJ,ready,
189,genoeg,BW,enough,
190,geven,WW,to give,
191,achter,VZ,behind,
192,kwam,WW,came,
193,gemaakt,ADJ,made,
194,paar,N,couple,bijvoeglijk
195,vader,N,father,de
196,vanavond,BW,tonight,
197,blijven,WW,stay,
198,kinderen,N,children,bijvoeglijk
199,dingen,WW,things,
200,houden,WW,to keep,
201,tussen,VZ,between,
202,bijna,BW,almost,
203,zelfs,BW,even,
204,eten,WW,food,
205,samen,BW,together,
206,werken,WW,to work,
207,moeder,N,mother,de
208,niemand,VNW,nobody,
209,vraag,N,ask,de
210,gehad,WW,had,
211,volgende,WW,next one,
212,wanneer,BW,when,
213,thuis,BW,home,
214,idee,N,idea,de
215,hoop,N,hope,de
216,foto,N,photo,de
217,dagen,N,days,
218,eigenlijk,ADJ,actually,
219,hé,BW,Hey,
220,helpen,WW,help out,
221,wereld,N,world,de
222,vragen,WW,ask,
223,nemen,WW,take,
224,hadden,WW,had,
225,auto,N,car,de
226,pas,BW,pass,
227,praten,WW,to talk,
228,buiten,VZ,Outside,
229,best,ADJ,best,
230,naam,N,name,de
231,denken,WW,to think,
232,soms,BW,sometimes,
233,via,VZ,through,
234,gelukkig,ADJ,happy,
235,open,ADJ,Open,
236,ooit,BW,ever,
237,gek,ADJ,crazy,
238,heerlijk,ADJ,delicious,
239,tijdens,VZ,while,
240,elke,ADJ,each,
241,geleden,BW,ago,
242,god,N,God,de
243,vooral,BW,mostly,
244,spijt,N,regret,werkwoord
245,blij,ADJ,happy,
246,bezig,ADJ,busy,
247,sorry,N,Sorry,
248,kleine,ADJ,little,
249,geweldig,ADJ,awesome,
250,fijn,ADJ,nice,
251,enige,BW,only one,
252,groot,ADJ,big,
253,halen,WW,fetch,
254,horen,WW,to hear,
255,succes,N,good luck,het
256,beste,ADJ,Best,
257,vanaf,VZ,from,
258,haha,N,haha,
259,ie,VNW,ie,
260,wachten,WW,to wait,
261,heen,VZ,away,
262,zin,N,sense,de
263,vaak,ADJ,often,
264,druk,ADJ,pressure,
265,hallo,N,Hey,het
266,plaats,N,place,de
267,later,ADJ,later,
268,moment,N,moment,het
269,land,N,country,het
270,vertellen,WW,to tell,
271,zorgen,WW,to care,
272,oude,ADJ,old,
273,vriend,N,friend,de
274,weekend,N,weekend,het
275,jaren,N,years,mv.
276,daarom,BW,therefore,
277,gelijk,ADJ,equal,
278,minder,VNW,less,
279,mannen,N,men,het
280,welke,VNW,which,
281,bang,ADJ,anxious,
282,rond,VZ,round,
283,manier,N,way,de
284,mogelijk,ADJ,possible,
285,meneer,N,sir,de
286,straks,BW,later,
287,politie,N,law enforcement,de
288,geloof,N,faith,het
289,eerder,ADJ,earlier,
290,precies,ADJ,exactly,
291,stad,N,city,de
292,luister,N,listen,
293,probleem,N,issue,werkwoord
294,oh,TSW,Oh,
295,vol,ADJ,full,
296,hen,VNW,them,
297,boek,N,book,het
298,school,N,school,de
299,sinds,VZ,since,
300,kant,N,side,de
301,gisteren,BW,yesterday,
302,zoveel,TW,this much,
303,tweede,ADJ,second,
304,begin,N,get started,het
305,zoek,ADJ,Search,
306,daarna,BW,afterwards,
307,avond,N,evening,de
308,kind,N,child,het
309,houdt,WW,keeps,
310,rustig,ADJ,quiet,
311,zeer,BW,very,
312,jongen,N,boy,de
313,vrij,ADJ,free,
314,hoofd,N,head,het
315,kans,N,opportunity,
316,terwijl,VG,while,
317,boven,VZ,above,
318,gebeurd,WW,happened,
319,zoon,N,son,de
320,welkom,ADJ,welcome,
321,ander,ADJ,other,
322,inderdaad,BW,indeed,
323,weken,WW,weeks,
324,brengen,WW,bring,
325,meteen,BW,right away,
326,spelen,WW,play,
327,alsjeblieft,TSW,please,
328,geval,N,case,
329,lopen,WW,walk,
330,water,N,water,het
331,kamer,N,room,de
332,aantal,N,number,de
333,vier,TW,four,
334,zoeken,WW,Search,
335,zetten,WW,put,
336,verhaal,N,story,het
337,langs,VZ,along,
338,meisje,N,girl,het
339,beginnen,WW,to start,
340,euro,N,euro,de
341,hè,N,Hey,de
342,mogen,WW,be allowed to,
343,juist,BW,right,
344,prima,ADJ,fine,
345,liggen,WW,lie,
346,soort,N,kind,de/het
347,enkele,VNW,a few,
348,jongens,N,guys,de
349,kreeg,WW,received,
350,vijf,TW,five,
351,nieuw,ADJ,new,
352,duidelijk,ADJ,clearly,
353,bed,N,bed,het
354,vrouwen,N,women,de
355,geworden,WW,become,
356,minuten,N,minutes,
357,familie,N,family,de
358,plezier,N,fun,het
359,hand,N,hand,de
360,slapen,WW,to sleep,
361,weinig,VNW,little,
362,benieuwd,ADJ,curious,
363,gezellig,ADJ,cozy,
364,echte,ADJ,real,
365,ogen,N,eyes,werkwoord
366,klein,ADJ,small,
367,lezen,WW,read,
368,helaas,BW,unfortunately,
369,gebruiken,WW,use,
370,alsof,VG,as if,
371,ergens,BW,somewhere,
372,gebeurt,WW,happens,
373,deel,N,part,de
374,zodat,VG,so that,
375,volgen,WW,to follow,
376,slecht,ADJ,bad,
377,prachtig,ADJ,magnificent,
378,stuk,N,piece,het
379,proberen,WW,to attempt,
380,nieuws,N,news,het
381,moeilijk,ADJ,difficult,
382,ervan,BW,of it,
383,leren,WW,to learn,
384,problemen,N,issues,bijvoeglijk
385,jammer,ADJ,Unfortunately,
386,verdomme,N,damn,
387,super,ADJ,super,
388,jezelf,VNW,yourself,
389,hoeveel,TW,How much,
390,dochter,N,daughter,de
391,valt,WW,falls,
392,spreken,WW,to speak,
393,deur,N,door,de
394,hard,ADJ,hard,
395,vergeten,WW,to forget,
396,men,VNW,men,
397,probeer,WW,try,
398,zaak,N,matter,de
399,klopt,WW,correct,
400,koffie,N,coffee,de
401,bel,N,call,de
402,blog,N,blog,de
403,handen,N,hands,werkwoord
404,voorbij,VZ,over,
405,film,N,movie,de
406,vrijdag,N,Friday,de
407,ding,N,thing,de
408,rest,N,rest,het
409,eruit,BW,get out,
410,eindelijk,ADJ,Finally,
411,bekend,ADJ,known,
412,pak,N,business suit,de
413,naast,VZ,next,
414,gebruik,N,use,het
415,zondag,N,Sunday,de
416,tien,TW,ten,
417,mis,ADJ,wrong,
418,wakker,ADJ,awake,
419,kent,WW,knows,
420,vanuit,VZ,from,
421,zaterdag,N,Saturday,de
422,onderzoek,N,research,het
423,nummer,N,number,het
424,anderen,ADJ,others,
425,pijn,N,pain,de
426,trouwens,BW,Besides,
427,hart,N,heart,het
428,hetzelfde,ADJ,the same,
429,waarschijnlijk,ADJ,probably,
430,oud,ADJ,old,
431,echter,BW,however,
432,ieder,VNW,each,
433,liefde,N,love,de
434,half,ADJ,half,
435,hulp,N,help,de
436,miljoen,N,million,het
437,goedemorgen,N,good morning,
438,zorg,N,care,de
439,kop,N,cup,de
440,bellen,WW,dial,
441,sta,WW,stand,
442,geloven,WW,to believe,
443,elk,VNW,each,
444,nacht,N,night,de
445,stop,N,Stop,het
446,plek,N,place,werkwoord
447,den,N,Pine tree,de
448,belangrijk,ADJ,important,
449,zon,N,Sun,de
450,vermoord,WW,murdered,
451,extra,ADJ,additional,
452,gegeven,WW,given,
453,gevoel,N,feeling,het
454,hoi,N,Hi,
455,lieve,ADJ,dear,
456,dezelfde,ADJ,the same,
457,top,N,top,
458,zes,TW,six,
459,genieten,WW,to enjoy,
460,gebeuren,WW,to happen,
461,plan,N,plan,het
462,prachtige,ADJ,gorgeous,
463,los,ADJ,loose,
464,maand,N,month,de
465,reden,N,reason,de
466,vallen,WW,fall,
467,voordat,VG,before,
468,kopen,WW,to buy,
469,erbij,BW,with it,
470,website,N,website,de
471,opnieuw,BW,again,
472,mens,N,man,de/het
473,maandag,N,Monday,de
474,drinken,WW,drink,
475,verschillende,ADJ,various,
476,lange,ADJ,long,
477,buurt,N,neighborhood,de
478,woord,N,word,het
479,mezelf,VNW,myself,
480,ten,VZ,ten,
481,loopt,WW,runs,
482,aldus,BW,thus,
483,stel,N,set,de
484,lief,ADJ,sweet,
485,broer,N,brother,het
486,betalen,WW,Pay,
487,ver,ADJ,far,
488,erop,BW,on it,
489,vakantie,N,vacation,de
490,bank,N,Bank,de
491,schat,N,treasure,bijvoeglijk
492,schrijven,WW,to write,
493,rijden,WW,to drive,
494,zoiets,VNW,something like that,
495,liever,BW,rather,
496,overal,BW,everywhere,
497,begonnen,WW,started,
498,woorden,N,words,het
499,muziek,N,music,de
500,der,ADJ,der,
501,verteld,WW,told,
502,kennen,WW,to know,
503,procent,N,per cent,het
504,dicht,ADJ,close,
505,gratis,ADJ,free,
506,eind,N,end,het
507,einde,N,end,het
508,mama,N,mom,de
509,stoppen,WW,stop,
510,vriendin,N,girlfriend,de
511,stellen,WW,set,
512,vooruit,BW,forward,
513,dollar,N,dollar,de
514,recht,ADJ,straight,
515,aardig,ADJ,nice,
516,bedrijf,N,company,het
517,groep,N,group,de
518,slechts,BW,only,
519,ongeveer,BW,about,
520,gesprek,N,conversation,het
521,waarin,BW,in which,
522,stil,ADJ,quiet,
523,vanmiddag,BW,this afternoon,
524,daarmee,BW,with that,
525,alweer,BW,again,
526,antwoord,N,answer,het
527,tv,N,TV,de
528,grootste,ADJ,largest,
529,enkel,ADJ,only,
530,inmiddels,BW,Meanwhile,
531,site,N,site,de
532,gezicht,N,face,het
533,licht,N,light,het
534,media,N,media,mv.
535,contact,N,Contact,het
536,bijvoorbeeld,BW,for example,
537,dokter,N,doctor,de
538,vergeet,WW,forget,
539,zichzelf,VNW,himself,
540,informatie,N,information,de
541,binnenkort,BW,shortly,
542,baan,N,job,de
543,langer,ADJ,longer,
544,papa,N,Daddy,de
545,kwijt,ADJ,lost,
546,uiteindelijk,ADJ,in the end,
547,neer,BW,down,
548,toekomst,N,future,de
549,hoorde,WW,heard,
550,bestaat,WW,exists,
551,telefoon,N,phone,de
552,vroeger,ADJ,back in the days,
553,eerlijk,ADJ,fair,
554,pakken,WW,to grab,
555,prijs,N,price,de
556,mevrouw,N,Mrs.,de
557,geluk,N,luck,het
558,vorig,ADJ,last,
559,hond,N,dog,de
560,doden,WW,kill,
561,normaal,ADJ,normal,
562,sommige,VNW,some,
563,collega,N,colleague,de
564,direct,ADJ,straight away,
565,beneden,VZ,down,
566,donderdag,N,Thursday,de
567,fout,N,wrong,de
568,meest,BW,most,
569,noemen,WW,to mention,
570,eraan,BW,to it,
571,team,N,team,het
572,kaart,N,Map,de
573,trots,ADJ,pride,
574,programma,N,program,het
575,oorlog,N,war,de
576,stap,N,step,
577,trein,N,train,de
578,begon,WW,began,
579,hopelijk,ADJ,hopefully,
580,vertrouwen,WW,trust,
581,beide,VNW,both,
582,richting,N,direction,de
583,slag,N,battle,de
584,veilig,ADJ,safe,
585,maart,N,March,de
586,namelijk,BW,namely,
587,woensdag,N,Wednesday,de
588,rust,N,peace,de
589,winnen,WW,to win,
590,doel,N,target,het
591,president,N,president,de
592,ermee,BW,with it,
593,vele,BW,many,
594,loop,N,walk,de
595,onderweg,BW,on the way,
596,waarheid,N,truth,de
597,grappig,ADJ,funny,
598,erin,BW,in it,
599,meeste,ADJ,most,
600,reactie,N,reaction,de
601,grond,N,ground,de
602,aandacht,N,attention,de
603,nogal,BW,quite,
604,wedstrijd,N,contest,
605,nadat,VG,after,
606,partij,N,party,de
607,ervoor,BW,before,
608,kort,ADJ,short,
609,dinsdag,N,Tuesday,de
610,dames,N,Ladies,het
611,mond,N,mouth,de
612,actie,N,action,de
613,ene,N,one,de/het
614,lichaam,N,body,het
615,jonge,ADJ,young,
616,wonen,WW,living,
617,ziek,ADJ,sick,
618,online,ADJ,online,
619,vandaan,VZ,away from,
620,ruimte,N,space,de
621,regering,N,government,
622,volg,WW,follow,
623,bloed,N,blood,het
624,slaap,N,sleep,de
625,schuld,N,debt,de
626,stuur,N,send,het
627,kantoor,N,office,het
628,gesproken,WW,spoken,
629,boeken,WW,books,
630,april,N,April,de
631,vanwege,VZ,because of,
632,internet,N,internet,het
633,goeie,ADJ,good,
634,straat,N,street,de
635,mail,N,mail,de
636,zomaar,BW,No reason,
637,sterk,ADJ,strong,
638,winkel,N,store,de
639,makkelijk,ADJ,easy,
640,veranderen,WW,change,
641,derde,ADJ,third,
642,waard,ADJ,worth,
643,sturen,WW,send,
644,feest,N,party,het
645,minister,N,minister,de
646,hoog,ADJ,high,
647,ruim,ADJ,spacious,
648,wens,N,wish,de
649,voelen,WW,to feel,
650,baas,N,boss,de
651,baby,N,baby,de
652,verloren,WW,lost,
653,nergens,BW,nowhere,
654,tafel,N,table,de
655,gang,N,hallway,de
656,bezoek,N,visit,de
657,delen,WW,share,
658,plannen,WW,plan,
659,gemeente,N,Township,de
660,redden,WW,to rescue,
661,lol,N,LOL,de
662,tuin,N,garden,de
663,kracht,N,power,de
664,afspraak,N,appointment,de
665,daarvoor,BW,therefor,
666,bijzonder,ADJ,special,
667,plaatsen,WW,place,
668,lucht,N,sky,de
669,slechte,ADJ,poor,
670,tip,N,tip,de
671,nam,WW,took,
672,vent,N,guy,werkwoord
673,ziekenhuis,N,Hospital,het
674,moeite,N,effort,de
675,vreemd,ADJ,strange,
676,acht,TW,eight,
677,situatie,N,situation,de
678,rug,N,back,de
679,koud,ADJ,cold,
680,fantastisch,ADJ,fantastic,
681,klootzak,N,asshole,de
682,trekken,WW,to pull,
683,zwaar,ADJ,heavy,
684,totaal,ADJ,total,
685,meter,N,meter,de
686,bovendien,BW,besides,
687,helft,N,half,de
688,kiezen,WW,select,
689,luisteren,WW,listen,
690,club,N,club,de
691,stukje,N,piece,de
692,warm,ADJ,warm,
693,meestal,BW,mostly,
694,leggen,WW,lay,
695,meisjes,N,girls,bijvoeglijk
696,raad,N,advice,de
697,stem,N,voice,
698,heerlijke,ADJ,delicious,
699,interessant,ADJ,interesting,
700,kwaad,N,pissed off,werkwoord
701,ervaring,N,experience,de
702,witte,ADJ,white,
703,bericht,N,message,werkwoord
704,zomer,N,summer,de
705,zus,N,sister,de
706,terecht,ADJ,justly,
707,ach,TSW,ah,
708,mei,N,May,de
709,agent,N,agent,de
710,behalve,VG,except,
711,sterven,WW,to die,
712,rol,N,role,de
713,jong,ADJ,young,
714,landen,WW,Nations,
715,hoge,ADJ,high,
716,vermoorden,WW,murder,
717,ontvangen,WW,received,
718,dienst,N,shift,de
719,zwarte,ADJ,black,
720,verjaardag,N,birthday,de
721,zeven,TW,seven,
722,last,N,burden,de
723,waarop,BW,upon which,
724,keuze,N,choice,de
725,jan,N,Jan,
726,persoon,N,person,de
727,reis,N,trip,de
728,eentje,TW,one,
729,leiden,WW,lead,
730,rode,ADJ,red,
731,voorzichtig,ADJ,careful,
732,voorstellen,WW,introduce,
733,hotel,N,hotel,het
734,krant,N,newspaper,de
735,let,VG,please note,
736,hoezo,N,how so,
737,beeld,N,statue,het
738,lag,WW,lay,
739,gebied,N,area,het
740,ondanks,VZ,despite,
741,vorm,N,form,de
742,kennis,N,knowledge,de
743,gewerkt,WW,worked,
744,allebei,VNW,both,
745,kosten,WW,cost,
746,lachen,WW,laugh,
747,gebeld,WW,called,
748,waardoor,BW,Causing,
749,punt,N,point,de/het
750,haat,N,hate,de
751,ineens,BW,suddenly,
752,basis,N,base,de
753,koning,N,king,de
754,gewonnen,ADJ,won,
755,geweldige,ADJ,great,
756,hopen,WW,to hope,
757,lastig,ADJ,difficult,
758,waarvan,BW,from what,
759,bestaan,WW,to exist,
760,energie,N,energy,de
761,waarbij,BW,at which,
762,project,N,project,het
763,verkeerd,ADJ,wrong,
764,verkopen,WW,to sell,
765,moord,N,murder,ww
766,betreft,WW,regarding,
767,welk,VNW,which,
768,ah,N,Ah,het
769,serieus,ADJ,serious,
770,volledig,ADJ,fully,
771,moe,ADJ,tired,
772,pa,N,dad,de
773,feit,N,fact,het
774,daarbij,BW,thereby,
775,alvast,BW,already,
776,markt,N,market,de
777,lijken,WW,appear,
778,zowel,BW,both,
779,gevallen,WW,cases,
780,vervolgens,BW,thereafter,
781,zoekt,WW,searches,
782,kerk,N,church,de
783,ontmoet,WW,meet,
784,politiek,N,politics,bijvoeglijk
785,haag,N,hedge,de
786,wijn,N,wine,de
787,artikel,N,article,het
788,trek,N,pull,de
789,overigens,BW,Moreover,
790,aarde,N,soil,de
791,begrijpen,WW,to understand,
792,opdracht,N,order,werkwoord
793,allen,VNW,all,
794,mam,N,mom,de
795,klant,N,customer,de
796,perfect,ADJ,perfect,
797,trouwen,WW,Marry,
798,tenminste,BW,at least,
799,bedrijven,WW,businesses,
800,organisatie,N,organization,de
801,absoluut,ADJ,absolutely,
802,koop,N,buy,
803,korte,ADJ,short,
804,schieten,WW,shoot,
805,gezin,N,family,het
806,vertelt,WW,tells,
807,uiteraard,BW,of course,
808,bus,N,bus,het
809,ontmoeten,WW,Meet,
810,blijkbaar,ADJ,apparently,
811,vanmorgen,BW,this morning,
812,politieke,ADJ,political,
813,macht,N,power,de
814,band,N,band,de
815,val,N,fall,de
816,spel,N,game,het
817,raar,ADJ,weird,
818,enorm,ADJ,huge,
819,links,ADJ,left,
820,dikke,ADJ,thick,
821,omhoog,BW,up,
822,missen,WW,to miss,
823,januari,N,January,de
824,zover,BW,so far,
825,resultaat,N,result,het
826,namen,N,names,het
827,jack,N,jack,het
828,leger,N,army,het
829,duurt,WW,takes,
830,frank,N,frank,de
831,meid,N,girl,de
832,stemmen,WW,to vote,
833,vaker,ADJ,more often,
834,spannend,ADJ,exciting,
835,sociale,N,social,de
836,harte,N,heartily,werkwoord
837,wellicht,BW,maybe,
838,bekijken,WW,see,
839,rij,N,queue,de
840,hangen,WW,to hang,
841,leeft,ADJ,lives,
842,rekening,N,account,werkwoord
843,schatje,N,baby,bijvoeglijk
844,dragen,WW,to wear,
845,kapitein,N,captain,de
846,peter,N,Peter,
847,oog,N,eye,het
848,waarmee,BW,by which,
849,verlaten,WW,leave,
850,lijst,N,list,de
851,advocaat,N,lawyer,de
852,droom,N,dream,de
853,zolang,BW,so long,
854,les,N,lesson,
855,flink,ADJ,substantial,
856,vreselijk,ADJ,horrible,
857,relatie,N,relationship,de
858,kerel,N,dude,de
859,kleur,N,color,de
860,sterkte,N,get well soon,de
861,getrouwd,WW,married,
862,vuur,N,fire,bijvoeglijk
863,verschil,N,difference,de
864,aanwezig,ADJ,present,
865,daarvan,BW,thereof,
866,omgeving,N,surroundings,de
867,hemel,N,sky,de
868,radio,N,radio,de
869,gisteravond,BW,yesterday evening,
870,tja,BW,well,
871,feestje,N,party,het
872,brief,N,letter,de
873,seizoen,N,season,het
874,naartoe,VZ,to,
875,post,N,post,
876,verleden,N,past,werkwoord
877,publiek,N,audience,het
878,betaald,ADJ,paid,
879,info,N,info,de
880,geleerd,WW,learned,
881,slaan,WW,to beat,
882,volle,ADJ,full,
883,live,ADJ,live,
884,lieverd,N,sweetheart,de
885,papier,N,paper,het
886,vechten,WW,fight,
887,zee,N,sea,de
888,vliegen,WW,fly,
889,regels,N,rules,de
890,slim,ADJ,smart,
891,teveel,VNW,too much,
892,heer,N,lord,de
893,fiets,N,bicycle,de
894,wapen,N,weapon,
895,sneller,ADJ,faster,
896,volk,N,people,het
897,huidige,ADJ,current,
898,boos,ADJ,angry,
899,orde,N,order,de
900,volgend,ADJ,next,
901,gaaf,ADJ,cool,
902,jawel,BW,Yes,
903,ondertussen,BW,meanwhile,
904,lijn,N,line,de
905,strijd,N,struggle,de
906,verkocht,WW,sold,
907,tevreden,ADJ,satisfied,
908,vertrekken,WW,leave,
909,vlak,BW,flat,
910,kaarten,WW,Cards,
911,oma,N,Grandma,de
912,oplossing,N,solution,de
913,verliezen,WW,to lose,
914,juni,N,June,de
915,hoogte,N,height,de
916,geest,N,spirit,de
917,zojuist,BW,just now,
918,la,N,la,het
919,persoonlijk,ADJ,in person,
920,wet,N,law,de
921,midden,BW,middle,
922,zodra,BW,as soon,
923,ha,N,ha,
924,onzin,N,nonsense,bijvoeglijk
925,sneeuw,N,snow,de
926,keuken,N,kitchen,de
927,bos,N,forest,de
928,dankzij,VZ,thanks to,
929,ongeluk,N,accident,het
930,wind,N,wind,de
931,tekst,N,text,de
932,controle,N,check,de
933,bewijs,N,proof,het
934,kapot,ADJ,Broken,
935,gevaar,N,Danger,het
936,zulke,VNW,such,
937,lekkere,ADJ,tasty,
938,schip,N,ship,het
939,training,N,training,de
940,dieren,N,animals,de
941,geheel,ADJ,whole,
942,erger,ADJ,worse,
943,momenteel,ADJ,currently,
944,thee,N,tea,de
945,ochtend,N,morning,de
946,boot,N,boat,de
947,zak,N,bag,de
948,geschiedenis,N,history,de
949,respect,N,respect,het
950,bereiken,WW,to achieve,
951,leeg,ADJ,empty,
952,speciaal,ADJ,special,
953,verhalen,WW,stories,
954,camera,N,camera,de
955,overheid,N,government,de
956,september,N,September,de
957,belang,N,importance,het
958,meen,N,mean,de
959,dansen,WW,dancing,
960,rechter,N,judge,
961,ziens,BW,goodbye,
962,diep,ADJ,deep,
963,februari,N,February,de
964,daardoor,BW,therefore,
965,immers,BW,after all,
966,erover,BW,about it,
967,geheim,N,secret,het
968,allerlei,ADJ,all kinds of,
969,kleren,N,clothes,de
970,tijden,N,times,
971,december,N,December,de
972,workshop,N,workshop,de
973,tegenwoordig,ADJ,nowadays,
974,hoger,ADJ,higher,
975,handig,ADJ,useful,
976,verliefd,ADJ,in love,
977,kilometer,N,kilometer,de
978,systeem,N,system,het
979,speciale,ADJ,special one,
980,schoenen,N,shoes,de
981,gauw,ADJ,soon,
982,neus,N,nose,de
983,bal,N,ball,de
984,raken,WW,touch,
985,vanochtend,BW,this morning,
986,wapens,N,weapons,
987,dromen,WW,to dream,
988,indruk,N,impression,
989,wit,ADJ,white,
990,mening,N,opinion,
991,geprobeerd,WW,tried,
992,steun,N,support,de
993,vliegtuig,N,plane,de
994,restaurant,N,restaurant,het
995,hel,N,hell,de
996,halve,ADJ,half,
997,sluiten,WW,Close,
998,rood,ADJ,red,
999,laatst,ADJ,last,
1000,periode,N,period of time,de
1001,knap,ADJ,good looking,
1002,betrokken,ADJ,involved,
1003,geregeld,ADJ,regularly,
1004,bloemen,WW,flowers,
1005,vrijheid,N,freedom,de
1006,beschermen,WW,to protect,
1007,pap,N,dad,de
1008,ontzettend,ADJ,terribly,
1009,toevallig,ADJ,accidentally,
1010,dame,N,Lady,de
1011,voorbeeld,N,example,het
1012,schrijft,WW,writes,
1013,stappen,WW,to step,
1014,bouwen,WW,to build,
1015,draaien,WW,to turn,
1016,leeftijd,N,age,de
1017,angst,N,fear,
1018,middag,N,afternoon,de
1019,stom,ADJ,stupid,
1020,seks,N,sex,de
1021,vieren,WW,to celebrate,
1022,bier,N,beer,het
1023,gevangenis,N,jail,de
1024,rijk,ADJ,rich,
1025,teken,N,sign,
1026,voorkomen,WW,appearance,
1027,degene,VNW,the one,
1028,regelen,WW,arrange for,
1029,leden,N,members,de
1030,wensen,WW,to wish,
1031,lente,N,spring,de
1032,risico,N,risk,het/de
1033,zingen,WW,to sing,
1034,november,N,November,de
1035,voorlopig,ADJ,for the time being,
1036,gebouw,N,building,het
1037,kleuren,WW,colors,
